participant,time,motion.clause,motion.verb,path,ground,constr.type
141,1,primero Mr Bean &um senta [: sienta] [*] en la cama,sentar,en,la cama,motion_path_ground
143,1,&um y entonces está corriendo a la trampolín,correr,a,la trampol√≠n,motion_path_ground
143,1,cuando se cayó en el agua,caer,en,el agua,motion_path_ground
143,1,y corre afuera de la puerta,correr, afuera de,la puerta,motion_path_ground
143,1,&um cuando [/] cuando se salió,salir,,,motion
145,1,él tiene que usar la (1)ventana de su coche para salir,salir,,,motion
145,1,el se√±or Bean se muve [: (1)mueve] [*] &um por el calle,mover,por,el calle,motion_path_ground
145,1,el cochecito en este (1)video (2)va arriba al cielo,ir,arriba al,cielo,motion_path_ground
145,1,entonces √©l se cae en la piscina con el agua,caer,en,la piscina,motion_path_ground
145,1,se muve [: se (1)mueve] [*] para <un barrera> [//] la barrera,mover,para,la barrera,motion_path_ground
145,1,el señor Bean (1)va por un túnel ,ir,por,un t√∫nel,motion_path_ground
145,1,él salta en la cama ,saltar,en,la cama,motion_path_ground
146,1,&um pero tiene que bajar el trampolín,bajar,,el trampol√≠n,motion_ground
146,1,él está caminando,caminar,,,motion
146,1,&um y está volando en el cielo,volar,en,el cielo,motion_path_ground
146,1,y señor Bean &um caminando por un túnel ,caminar,por,un t√∫nel,motion_path_ground
146,1,&um  y estaba corriendo,correr,,,motion
147,1,&um Mr Bean sale &um sale su coche y pero por la venta [: (1)ventana] [*],salir,,su coche,motion_ground
147,1,&um Mr Bean &um es &um camina [/] camina en la calle,caminar,en ,la calle,motion_path_ground
147,1,&um Mr Bean entra en el centro comercial,entrar,en,el centro comercial,motion_path_ground
147,1,Mr Bean camina [/] camina en un carretera (1)vacío,caminar,en,un carretera,motion_path_ground
147,1,&um Mr Bean &um sub(e) [/] sube en el cielo con el cochecito,subir,en,el cielo,motion_path_ground
147,1,<y le> [//] y Mr Bean sub(e) [/] sube con los globos,subir,,,motion
147,1,Mr Bean &um se cae en la piscina,caer,en,la piscina,motion_path_ground
147,1,y él le cae de el trampolín,caer,de,el trampol√≠n,motion_path_ground
148,1,&um Mr Bean &um sale &um &um el coche,salir,,el coche,motion_ground
148,1,y &um camina a su casa,caminar,a,su casa,motion_path_ground
148,1,&um señor Bean &um sale su habitación,salir,,su habitaci√≥n,motion_ground
148,1,el perro &um &um &um corre &um cerca de las (1)ovejas,correr,cerca de,las ovejas,motion_path_ground
148,1,&um señor Bean &um corre &um del [/] del tren,correr,del,tren,motion_path_ground
149,1,&um Mr Bean está saliendo su carro [//] su coche,salir,,su coche,motion_ground
149,1,y corriendo &um cerca de su cama ,correr,cerca de,su cama,motion_path_ground
149,1,pero solamente caminando ,caminar,,,motion
149,1,y cayó en el agua en la piscina,caer,en,el agua,motion_path_ground
149,1,está saliendo a su habitación,salir,a,su habitaci√≥n,motion_path_ground
149,1,&um en este (1)video Mr Bean &um (2)va a llegar un tren ,llegar,,un tren,motion_ground
149,1,él está llegando a su trabajo,llegar,a,su trabajo,motion_path_ground
149,1,Mr Bean llega [//] llegue el tren,llegar,,el tren,motion_ground
149,1,&um Mr Bean está corriendo &um en su cuarto ,correr,en,su cuarto,motion_path_ground
151,1,y cae <en el> [//] en la agua,caer,en,el agua,motion_path_ground
151,1,mientras que camina entre un túnel ,caminar,entre,un t√∫nel,motion_path_ground
151,1,todavía en su traje Mr Bean camina debajo las escaleras grandes,caminar,debajo,las escaleras,motion_path_ground
151,1,y empieza a brincar ,brincar,,,motion
153,1,señor Bean (1)va al trampolín &um escalera,ir,al,trampol√≠n,motion_path_ground
153,1,señor Bean baila en la habitación ,bailar,en,la habitaci√≥n,motion_path_ground
153,1,señor Bean camina en una carretera ,caminar,en,una carretera,motion_path_ground
153,1,el cochecito vole [: (1)vuela] [*] en el cielo con los globos,volar,en,el cielo,motion_path_ground
153,1,éll naga [: nada] [*]  en la piscina,nadar,en,la piscina,motion_path_ground
153,1,señor Bean entra el túnel,entrar,,el t√∫nel,motion_ground
153,1,señor Bean baja las escaleras ,bajar,,las escaleras,motion_ground
153,1,&um señor Bean (1)va sobre el tren,ir,sobre,el tren,motion_path_ground
153,1,señor Bean baila sobre <el andén> [//] la andén xxx ,bailar,sobre,la and√©n,motion_path_ground
154,1,y Mr Bean es el primer a entrar al comer(cial) [//] centro comercial ,entrar,al,centro comercial,motion_path_ground
154,1,y &um y cae <en la agua> [//] en el agua,caer,en,el agua,motion_path_ground
154,1,y está (1)moviendo &um cerca de una barrera roja ,mover,cerca de,una barrera,motion_path_ground
154,1,que alguien puede entrar al otro lado del barrera,entrar,al otro lado del,barrera,motion_path_ground
154,1,y &um empieza caminar por el túnel,caminar,por,el t√∫nel,motion_path_ground
154,1,en este (1)video Mr Bean está saliendo de su habitación,salir,de,su habitaci√≥n,motion_path_ground
154,1,y al fin cuando sale su habitación,salir,,su habitaci√≥n,motion_ground
154,1,&um está corriendo muy rápido,correr,,,motion
120,2,&um Mr Bean entra en un fotomatón &um,entrar,en,un fotomat√≥n,motion_path_ground
120,2,&um señor Bean &um trepa las escaleras,trepar,,las escaleras,motion_ground
120,2,&um Mr Bean entra su habitación,entrar,,su habitaci√≥n,motion_ground
120,2,&um el hombre caseo [: se cae] [*] por el suelo um y es [//] están muy mal um,caer,por,el suelo,motion_path_ground
121,2,&um señor Bean camina en el andén,caminar,en,el and√©n,motion_path_ground
121,2,&um se√±or Bean entrena [: entra] [*] a un fotomatón,entrar,a,un fotomat√≥n,motion_path_ground
121,2,&um señor Bean &um camina <a su> [//] a la [//] las escaleras,caminar,a,las escaleras,motion_path_ground
121,2,&um señor Bean sale un coche &um él cierra la puerta de la coche,salir,,un coche,motion_ground
121,2,&um el hombre &um camina cerca señor Bean,caminar,cerca,se√±or Bean,motion_path_ground
125,2,Mr Bean corre al tobogán,correr,al,tobog√°n,motion_path_ground
125,2,Mr Bean camina por la puerta en la habitación y,caminar,por,la puerta,motion_path_ground
127,2,señor Bean baila en la calle,bailar,en,la calle,motion_path_ground
127,2,y entre [: entra] [*] en la habitación,entrar,en,la habitaci√≥n,motion_path_ground
127,2,está bailando con la música,bailar,,,motion
127,2,porque él camine [/] camine,caminar,,,motion
128,2,&um señor Bean baila en su cama,bailar,en,su cama,motion_path_ground
128,2,o señor Bean (1)viaja para su habitación ,viajar,para,su habitaci√≥n,motion_path_ground
128,2,señor Bean &um camina,caminar,,,motion
128,2,señor Bean &um entra su habitación,entrar,,su habitaci√≥n,motion_ground
128,2,señor Bean baila en su cama,bailar,en,su cama,motion_path_ground
128,2,señor Bean camina en el andén del tren,caminar,en,el and√©n,motion_path_ground
128,2,señor Bean entra en la fotomatón ,entrar,en,la fotomat√≥n,motion_path_ground
128,2,y baila en el andén de tren,bailar,en,el and√©n,motion_path_ground
130,2,&um porque está saltando en la cama,saltar,en,la cama,motion_path_ground
130,2,cuando sale de la habitación ,salir,de,la habitaci√≥n,motion_path_ground
130,2,Mr Bean (1)va a una tienda,ir,a,una tienda,motion_path_ground
130,2,Mr Bean &um sale del habitación ,salir,del,habitaci√≥n,motion_path_ground
132,2,&um Mr Bean entra en el fotomatón,entrar,en ,el fotomat√≥n,motion_path_ground
132,2,&um y sale de su coche,salir,de,su coche,motion_path_ground
132,2,que se cae en el suelo,caer,en,el suelo,motion_path_ground
132,2,y baila en la calle,bailar,en,la calle,motion_path_ground
132,2,y sube las escaleras,subir,,las escaleras,motion_ground
135,2,en esta escena &um Mr Bean entra [//] se entra en un fotomatón,entrar,en,un fotomat√≥n,motion_path_ground
135,2,Mr Bean anda sobre los [//] las escaleras,andar,sobre,las escaleras,motion_path_ground
135,2,Mr Bean entra &um una tienda,entrar,,una tienda,motion_ground
135,2,Mr Bean está bailando en la plaza,bailar,en,la plaza,motion_path_ground
136,2,&um señor Bean corre a el tobogán,correr,a,el tobog√°n,motion_path_ground
136,2,porque Mr Bean corre a la puerta,correr,a,la puerta,motion_path_ground
136,2,porque un hombre cae a el suelo,caer,a,el suelo,motion_path_ground
136,2,señor Bean camina en el habitación,caminar,en,el habitaci√≥n,motion_path_ground
137,2,él sale su dormitorio ,salir,,su dormitorio,motion_ground
137,2,señor Bean camina,caminar,,,motion
137,2,señor Bean camina por el andén,caminar,por,el and√©n,motion_path_ground
137,2,señor Bean camina por la piscina,caminar,por,la piscina,motion_path_ground
137,2,señor Bean corre para el tobogán,correr,para,el tobog√°n,motion_path_ground
137,2,señor Bean llega a su habitación ,llegar,a,su habitaci√≥n,motion_path_ground
137,2,señor Bean va al hotel por las escaleras [/] escaleras ,ir,al,hotel,motion_path_ground
137,2,un hombre se cae,caer,,,motion
137,2,y camina para el fotomatón ,caminar,para,el fotomat√≥n,motion_path_ground
137,2,señor Bean llega a el andén,llegar,a,el and√©n,motion_path_ground
138,2,él entro [: entrar] [*] de fotomatón,entrar,de,fotomat√≥n,motion_path_ground
138,2,el hombre cae al suelo ,caer,al,suelo,motion_path_ground
138,2,él sale de la habitacón,salir,de,la habitaci√≥n,motion_path_ground
138,2,él sale del coche,salir,del,coche,motion_path_ground
138,2,sube las escaleras,subir,,las escaleras,motion_ground
140,2,&um en este (1)video &um él entra a [/] a su habitación ,entrar,a,su habitaci√≥n,motion_path_ground
140,2,en este (1)video &um Mr Bean entra a [/] a la fotomatón,entrar,a,la fotomat√≥n,motion_path_ground
140,2,y &um él sube en la cama,subir,en,la cama,motion_path_ground
140,2,y él (1)va a una otra lugar,ir,a,una otra lugar,motion_path_ground
140,2,y él (1)va muve [: (2)mueve] [*] lentamente ,mover,,,motion
140,2,y una otra persona cae en el suelo,caer,en,el suelo,motion_path_ground
141,2,&um entra su habitación,entrar,,su habitaci√≥n,motion_ground
141,2,&um y brinca en la calle .,brincar,en,la calle,motion_path_ground
141,2,él &um quiere &um subir un otro tren .,subir,,otro tren,motion_ground
141,2,y &um él entra la tienda,entrar,,la tienda,motion_ground
141,2,y &um entra la &um corredor ,entrar,,la corredor,motion_ground
141,2,y &um sale su habitación,salir,,su habitaci√≥n,motion_ground
141,2,y &um sí él sale su habitación ,salir,,su habitaci√≥n,motion_ground
141,2,y él es &um muy contenta a brincar &um en la cama,brincar,en,la cama,motion_path_ground
141,2,y Mr Bean corre &um del hombre,correr,del,hombre,motion_path_ground
141,2,pero él baila solo,bailar,,,motion
141,2,&um y sale el coche,salir,,el coche,motion_ground
142,2,y Mr Bean brinca &um ,brincar,,,motion
142,2,Mr Bean entra entra entrar entrar a su habi(taci√≥n) [/] habitaci√≥n,entrar,a,su habitaci√≥n,motion_path_ground
143,2,&um después de salir de su carro,salir,de,su carro,motion_path_ground
143,2,Mr Bean ha [/] ha llegado a un [//] unas escaleras ,llegar,a,unas escaleras,motion_path_ground
143,2,porque el tren está saliendo,salir,,,motion
143,2,y <está bailando> [/] está bailando,bailar,,,motion
145,2,el señor Bean salta en la cama para (1)ver,saltar,en,la cama,motion_path_ground
145,2,en que está bailando ,bailar,,,motion
145,2,señor Bean camina &um por el andén,caminar,por,el and√©n,motion_path_ground
145,2,y decide de entrar la tienda para comprar cosas,entrar,,la tienda,motion_ground
145,2,el hombre en el traje negro se cae al suelo ,caer,al,suelo,motion_path_ground
145,2,el señor Bean sube las escaleras con su maletín,subir,,las escaleras,motion_ground
145,2,el señor Bean sale de un coche con un bebé,salir,de,un coche,motion_path_ground
146,2,&um y él camina por por el andén,caminar,por,el and√©n,motion_path_ground
146,2,él salta en el andén,saltar,en,el and√©n,motion_path_ground
146,2,y él [/] él entró la tienda con un una xxx,entrar,,la tienda,motion_ground
146,2,y después de [/] de salir de su cama,salir,de,su cama,motion_path_ground
146,2,en este (1)video señor Bean entró su habitación &um por la puerta,entrar,,su habitai√≥n,motion_ground
146,2,&um en este (1)video Mr Bean entró un fotomatón,entrar,,un fotomat√≥n,motion_ground
146,2,en este (1)video señor Bean &um de [/] de salir &um de su carro,salir,de,su carro,motion_path_ground
147,2,&um Mr Bean sale la habitación,salir,,la habitaci√≥n,motion_ground
147,2,&um y entra en el &um edificio,entrar,en,el edificio,motion_path_ground
147,2,porque &um el tren &um sale sin Mr Bean,salir,,,motion
147,2,y baja en el cama,bajar,en,el cama,motion_path_ground
148,2,&um se√±or Bean &um sale [//] &um salió &um la habitación,salir,,la habitaci√≥n,motion_ground
148,2,&um se√±or Bean &um &um bailó en la plaza,bailar,en,la plaza,motion_path_ground
148,2,&um se√±or Bean &um camina de [//] &um del andén,caminar,del ,and√©n,motion_path_ground
148,2,&um señor Bean &um caminó &um en el centro comercial,caminar,en,el centro comercial,motion_path_ground
148,2,&um se√ñor Bean &um &um fue &um al la piscina,ir,al,la piscina,motion_path_ground
148,2,&um se√±or Bean &um fue a [/] a el &um fotomatón,ir,a,el fotomat√≥n,motion_path_ground
149,2,&um él sale su habitación,salir,,su habitaci√≥n,motion_ground
149,2,<en ese (1)video> [/] en es (2)video Mr Bean fui [//] fue a la fotomatón,ir,a,la fotomat√≥n,motion_path_ground
149,2,camina en el hotel ,caminar,en,el hotel,motion_path_ground
149,2,en ese (1)video el hombre ha cayó ha se cayó en el suelo,caer,en,el suelo,motion_path_ground
149,2,en este (1)video Mr Bean &um baile,bailar,,,motion
149,2,Mr Bean está caminando en el andén,caminar,en,el and√©n,motion_path_ground
149,2,&um señor Bean &um fue &um &um al <la escaleras> [//] las escaleras ,ir,al,las escaleras,motion_path_ground
149,2,y ha corrido a el [//] la tobogán,correr,a,la tobog√°n,motion_path_ground
149,2,y después &um sube las escaleras,subir,,las escaleras,motion_ground
149,2,y empie(ce) [/] empiece a &um subir &um el tobogán,subir,,el tobog√°n,motion_ground
149,2,y sí está está (1)volando,volar,,,motion
151,2,entonces entra la tienda para ir de compras,entrar,,la tienda,motion_ground
151,2,mientras que Mr Bean camina en la calle,caminar,en,la calle,motion_path_ground
151,2,Mr Bean camina afuera de una tienda,caminar,afuera de,una tienda,motion_path_ground
151,2,Mr Bean camina sobre un andén,caminar,sobre,un and√©n,motion_path_ground
151,2,Mr Bean empieza bailar en una plaza,bailar,en,una plaza,motion_path_ground
151,2,Mr Bean sale de su coche amarillo,salir,de,su coche,motion_path_ground
151,2,Mr Bean sale de su habitación,salir,de,su habitaci√≥n,motion_path_ground
151,2,que Mr Bean está saltando ,saltar,,,motion
151,2,y entra su habitación,entrar,,su habitaci√≥n,motion_ground
153,2,actualmente él baila sobre la calle y uno pie,bailar,sobre,la calle,motion_path_ground
153,2,él cae sobre el suelo ,caer,sobre,el suelo,motion_path_ground
153,2,él cambia [: camina] [*] en la tienda,caminar,en,la tienda,motion_path_ground
153,2,finalmente señor Bean baila,bailar,,,motion
153,2,señor Bean baia [/] baila en su cama ,bailar,en,su cama,motion_path_ground
153,2,señor Bean baila sobre el andén,bailar,sobre,el and√©n,motion_path_ground
153,2,señor Bean cambia [: camina] [*] sobre el piso ,caminar,sobre,el piso,motion_path_ground
153,2,señor Bean entra el fotomatón,entrar,,el fotomat√≥n,motion_ground
153,2,señor Bean llega en su habitación,llegar,en,su habitaci√≥n,motion_path_ground
153,2,señor Bean sale [/] sale <su carro> [//] su coche &um ,salir,,su coche,motion_ground
153,2,señor Bean sube los [//] las escaleras,subir,,las escaleras,motion_ground
154,2,aquí Mr Bean está saliendo de su habitación,salir,de,su habitaci√≥n,motion_path_ground
154,2,y &um al final él entra a la tienda,entrar,a,la tienda,motion_path_ground
154,2,y está &um escalando las escaleras,escalar,,las escaleras,motion_ground
154,2,y está brincando en un pie,brincar,,,motion
155,2,&um <señor Bean> [/] señor Bean salió de su coche,salir,de,su coche,motion_path_ground
155,2,salió del coche,salir,del,coche,motion_path_ground
155,2,se cayó al suelo,caer,al,suelo,motion_path_ground
155,2,se entró por la puerta,entrar,por,la puerta,motion_path_ground
155,2,señor Bean está caminando por el andén,caminar,por,el and√©n,motion_path_ground
155,2,señor Bean está caminando por el calle,caminar,por,el calle,motion_path_ground
155,2,señor Bean sube las escaleras,subir,,las escaleras,motion_ground
155,2,y bueno se salió del [/] del coche,salir,del,coche,motion_path_ground
155,2,y está (1)moviéndose,mover,,,motion
156,2,señor Bean entra un &um su habitación,entrar,,su habitaci√≥n,motion_ground
156,2,&um no pudo montar el tren &um sí,montar,,el tren,motion_ground
156,2,él está bailando &um,bailar,,,motion
156,2,y está caminando ,caminar,,,motion
156,2,y está saltando,saltar,,,motion
157,2,&um en ese (1)video Mr Bean camine a las escaleras,caminar,a,las escaleras,motion_path_ground
157,2,&um en esta (1)video Mr Bean &um camine en el calle ,caminar,en,el calle,motion_path_ground
157,2,&um en esta (1)video Mr Bean camine en el andén,caminar,en,el and√©n,motion_path_ground
157,2,&um en este (1)video Mr Bean camine a [/] a &um su habitación ,caminar,a,su habitaci√≥n,motion_path_ground
157,2,<porque Mr Bean>  [/] &um porque Mr Bean es camine en el andén,caminar,en,el and√©n,motion_path_ground
157,2,en ese (1)video Mr Bean corre &um en las escaleras,correr,en,las escaleras,motion_path_ground
157,2,en este (1)video Mr Bean &um camine [/] &um camine &um del &um coche,caminar,del,coche,motion_path_ground
157,2,en este (1)video Mr Bean camine de su habitación,caminar,de,su habitaci√≥n,motion_path_ground
